reach,start.rm,end.rm,no.sites,area,perc
-2,-15.16,-9.89,,,0
-1,-9.89,-4.61,,,0
0,-4.61,-0.3,,,0
1,0,7.8,108,1,0.030456853
2,8,11.1,43,1,0.01212634
3,11.3,14.4,44,1,0.012408347
4,14.6,16.9,34,1,0.009588268
5,17.2,20.7,49,1,0.013818387
6,21.4,22.9,24,1,0.00676819
7,27.1,28.9,31,1,0.008742245
8,29.53,33.73,60,2,0.016920474
9,33.78,38.33,65,2,0.018330513
10,38.33,43.32,69,2,0.019458545
11,44.02,48,59,2,0.016638466
12,48.1,52.28,61,2,0.017202482
13,52.84,55.9,50,2,0.014100395
14,56.35,59.9,52,3,0.014664411
15,60.1,65.68,84,3,0.023688663
16,66.1,68.9,40,3,0.011280316
17,69.18,72.3,46,4,0.012972363
18,73.02,75.23,37,4,0.010434292
19,76.6,78.98,17,4,0.004794134
20,79.27,81.96,38,5,0.0107163
21,82.35,84.1,24,5,0.00676819
22,84.22,85.13,15,5,0.004230118
23,85.9,89.4,50,5,0.014100395
24,89.5,90.74,19,5,0.00535815
25,90.97,93,31,5,0.008742245
26,93.2,93.78,10,5,0.002820079
27,93.97,94.93,21,5,0.005922166
28,95.57,97,22,5,0.006204174
29,97.28,98.57,20,5,0.005640158
30,98.99,99.57,10,5,0.002820079
31,102.6,104.33,25,5,0.007050197
32,105.68,106.41,11,5,0.003102087
33,106.6,108.3,24,5,0.00676819
34,108.45,109.1,11,5,0.003102087
35,109.44,112.59,46,5,0.012972363
36,113.9,119.1,80,6,0.022560632
37,119.42,122.1,40,6,0.011280316
38,122.25,123.19,15,6,0.004230118
39,123.4,125.44,29,6,0.008178229
40,125.72,126.61,13,6,0.003666103
41,127.75,129,35,6,0.009870276
42,129.85,131.04,18,6,0.005076142
43,131.24,132.09,13,6,0.003666103
44,132.38,134.17,25,7,0.007050197
45,135.4,138.2,42,7,0.011844332
46,139.83,141.57,25,7,0.007050197
47,141.86,143.81,28,7,0.007896221
48,144.08,145.31,18,7,0.005076142
49,145.54,148.24,38,7,0.0107163
50,148.53,150.1,23,7,0.006486182
51,150.4,153.95,50,7,0.014100395
52,154.19,157.13,42,7,0.011844332
53,157.42,161.11,52,7,0.014664411
54,161.18,164.87,52,7,0.014664411
55,165.06,168.38,47,8,0.013254371
56,168.65,171.75,44,8,0.012408347
57,172.01,175.87,55,8,0.015510434
58,175.87,179.57,54,8,0.015228426
59,180.13,183.76,53,8,0.014946418
60,183.84,187.52,54,8,0.015228426
61,187.72,191.59,57,9,0.01607445
62,191.65,195.58,58,9,0.016356458
63,195.67,200.57,71,9,0.020022561
64,200.64,205.44,69,9,0.019458545
65,205.71,209.01,48,9,0.013536379
66,209.18,212.38,47,10,0.013254371
67,212.57,215.92,49,10,0.013818387
68,216.07,217.64,23,10,0.006486182
69,217.89,219.41,24,10,0.00676819
70,219.62,223.35,55,10,0.015510434
71,223.86,225.86,30,10,0.008460237
72,226,230.12,58,11,0.016356458
73,232.62,233.81,20,11,0.005640158
74,234.08,235.13,18,11,0.005076142
75,236.18,240.97,71,11,0.020022561
76,241.1,245.88,70,11,0.019740553
77,245.95,250.67,68,11,0.019176537
78,250.78,255.66,69,11,0.019458545
79,255.74,260.05,62,11,0.01748449
80,260.13,265.02,66,11,0.018612521
81,265.05,269.93,66,11,0.018612521
82,270.03,274.99,67,11,0.018894529
83,275.09,281.44,85,11,0.023970671
84,281.7,286.65,,,0
85,286.78,291.76,,,0
86,291.8,296.83,,,0

