"id","type","rm_start","side","site_id","end_site_id","comments"
699,"nonnative",-15.78,"L","-15.78 L","-15.50 L","below spillway"
698,"nonnative",-15.73,"R","-15.73 R","-15.45 R","below spillway"
590,"monitoring",-14.72,"R","-14.72 R","-14.57 R",""
700,"nonnative",-14.34,"L","-14.34 L","-14.29 L","14 mile spring"
12,"monitoring",-14.31,"L","-14.31 L","-14.17 L","yellow end "
701,"nonnative",-14.28,"L","-14.28 L","-13.94 L","Rocky_shoreline"
593,"monitoring",-14.27,"R","-14.27 R","-14.11 R","yellow end "
13,"monitoring",-14.17,"L","-14.17 L","-14.02 L","yellow start "
594,"monitoring",-14.11,"R","-14.11 R","-13.95 R","yellow start "
15,"monitoring",-13.87,"L","-13.87 L","-13.68 L",""
702,"nonnative",-13.72,"R","-13.72 R","-13.69 R","spring inflow"
597,"monitoring",-13.69,"R","-13.69 R","-13.56 R",""
17,"monitoring",-13.5,"L","-13.5 L","-13.36 L",""
703,"nonnative",-13.5,"L","-13.5 L","-13.49 L","spring inflow"
22,"monitoring",-12.81,"L","-12.81 L","-12.68 L","yellow end "
23,"monitoring",-12.68,"L","-12.68 L","-12.55 L","yellow start "
606,"monitoring",-12.35,"R","-12.35 R","-12.21 R",""
710,"nonnative",-12.33,"L","-12.33 L","-12.4 L","along shore inside slough, downstream part"
709,"nonnative",-12.09,"L","-12.09 L","-12.33 L","along shore inside slough, downstream part"
711,"nonnative",-12.09,"L","-12.09 L","-12.33 L","along cobble bar inside slough"
704,"nonnative",-11.02,"L","-11.02 L","-10.92 L","below ferry swale bar"
705,"nonnative",-10.85,"L","-10.85 L","-10.62 L","rocky shoreline "
40,"monitoring",-10.8,"L","-10.8 L","-10.65 L",""
620,"monitoring",-10.42,"R","-10.42 R","-10.3 R","yellow end "
621,"monitoring",-10.3,"R","-10.3 R","-10.17 R","yellow start "
44,"monitoring",-10.12,"L","-10.12 L","-9.96 L",""
625,"monitoring",-9.69,"R","-9.69 R","-9.53 R","yellow end "
47,"monitoring",-9.68,"L","-9.68 L","-9.54 L",""
626,"monitoring",-9.53,"R","-9.53 R","-9.37 R","yellow start "
56,"monitoring",-8.47,"L","-8.47 L","-8.33 L",""
637,"monitoring",-7.78,"R","-7.78 R","-7.63 R","yellow end "
638,"monitoring",-7.63,"R","-7.63 R","-7.47 R","yellow start & end "
63,"monitoring",-7.47,"L","-7.47 L","-7.31 L",""
639,"monitoring",-7.47,"R","-7.47 R","-7.33 R","yellow start "
706,"nonnative",-6.9,"L","-6.9 L","-6.85 L","backwater"
643,"monitoring",-6.88,"R","-6.88 R","-6.7 R",""
645,"monitoring",-6.55,"R","-6.55 R","-6.41 R",""
648,"monitoring",-6.15,"R","-6.15 R","-6.04 R",""
652,"monitoring",-5.65,"R","-5.65 R","-5.51 R",""
661,"monitoring",-4.31,"R","-4.31 R","-4.15 R","yellow end "
662,"monitoring",-4.15,"R","-4.15 R","-4.02 R","yellow start shore inside four mile bar"
668,"monitoring",-3.38,"R","-3.38 R","-3.22 R",""
707,"nonnative",-3.32,"L","-3.32 L","-3.29 L","warm spring inflow"
670,"monitoring",-3.04,"R","-3.04 R","-2.88 R",""
672,"monitoring",-2.75,"R","-2.75 R","-2.6 R","yellow end "
673,"monitoring",-2.6,"R","-2.6 R","-2.45 R","yellow start & end "
97,"monitoring",-2.46,"L","-2.46 L","-2.33 L",""
674,"monitoring",-2.45,"R","-2.45 R","-2.3 R","yellow start "
676,"monitoring",-2.12,"R","-2.12 R","-1.96 R",""
100,"monitoring",-2.08,"L","-2.08 L","-1.94 L",""
679,"monitoring",-1.64,"R","-1.64 R","-1.49 R","yellow end "
708,"nonnative",-1.5,"L","-1.5 L","-1.47 L","backwater"
680,"monitoring",-1.49,"R","-1.49 R","-1.34 R","yellow start "
684,"monitoring",-0.86,"R","-0.86 R","-0.72 R",""
